Region;Deutschland;Regionsschlüssel:;d;b
Gebietsstand;Mai 26;;;
Berichtsmonat;Zeitreihe;;;
Datenstand;Mai 26;;;
Rechtskreis;Insgesamt;;;
;;;;
;;;;
Berichtsmonat ;Bestand Arbeitslose ;Zugang Arbeitslose ;Abgang Arbeitslose ;Arbeitslosenquote 
Aug 09;3.463.440;742.360;733.340;8,2
Jul 09;3.454.500;803.600;751.180;8,2
Jun 09;3.402.050;706.430;753.520;8,1
Mai 09;3.449.220;673.440;799.420;8,2
Apr 09;3.575.260;825.380;826.380;8,5
Mrz 09;3.576.360;757.980;724.210;8,5
Feb 09;3.542.600;758.220;695.740;8,5
Jan 09;3.480.170;953.480;567.450;8,3
Dez 08;3.094.150;756.970;643.690;7,4
Nov 08;2.980.970;694.600;702.750;7,1
Okt 08;2.989.230;733.950;817.830;7,1
Sep 08;3.073.270;658.300;772.920;7,3
Aug 08;3.187.760;689.840;703.920;7,6
Jul 08;3.201.840;762.480;712.290;7,6
Jun 08;3.151.680;584.990;707.320;7,5
Mai 08;3.274.030;610.190;739.800;7,8
Apr 08;3.403.670;663.910;756.980;8,1
Mrz 08;3.496.860;642.150;751.440;8,3
Feb 08;3.606.080;644.870;686.700;8,6
Jan 08;3.647.910;856.960;604.140;8,7
Dez 07;3.395.220;660.140;631.830;8,1
Nov 07;3.366.880;669.260;723.780;8
Okt 07;3.421.390;695.530;804.740;8,2
Sep 07;3.530.640;673.130;834.200;8,4
Aug 07;3.691.890;671.520;680.410;8,8
Jul 07;3.701.000;775.270;746.800;8,8
Jun 07;3.672.930;578.000;700.850;8,8
Mai 07;3.795.940;572.720;734.890;9,1
;;;;
Exportdatum: ;26.06.2026;19:15:53;;
© Statistik der Bundesagentur für Arbeit;;;;
Die Produkte unterliegen dem Urheberrecht (siehe Impressum: https://statistik.arbeitsagentur.de/DE/Home/Service/Impressum/impressum_node.html). Daten und Tabellen dürfen uneingeschränkt verwendet werden. Informationen dürfen (auch auszugsweise) gespeichert und mit Quellenangabe weitergegeben, vervielfältigt und verbreitet werden. Die Inhalte dürfen nicht verändert oder verfälscht werden. Eigene Berechnungen sind erlaubt, jedoch als solche kenntlich zu machen. Im Fall einer Veröffentlichung im Internet soll dies mit einer Verlinkung auf die Homepage der Statistik der Bundesagentur für Arbeit (https://statistik.arbeitsagentur.de/) erfolgen.;;;;
